P_YYYYMMDD,BASE_WEEKDAY,BASE_TM,ENTR_NO,MDL_NM,CHNL_PNTN_ESPE_BRD_CHNL_NO,CHNL_ESPE_POT_CHNL_STAY_TM,WTCH_REGN_NM
2023-08-08,3,15,438FA35C8C179297510BC82823B6C66369F4C2D6,UTE7057LGU,135,1496,경기/인천
2023-08-20,1,22,D09990A90A6CAA43BB8650E8EE28FB0A27CCDF75,UTE7057LGU,47,2311,진주
2023-10-24,3,18,C86E1603E02A324929ABD9BDEA1C1D56B4ECA453,UIE4057LGU,269,2743,경기/인천
2023-09-08,6,19,A7295254E60A7B69AFF18D5D510D2249FBCD1DF5,UHD4K,0,651,대전
2023-08-30,4,17,47A0AF41A6178D0D8461E2BB5AD623529452C1BB,UTE7057LGU,75,974,경기/인천
2023-09-16,7,23,C497FDE177F3AAD83735A63359BDADE6D4318AF4,UHD4K,84,2108,서울
2023-09-24,1,23,A63ABB0096425B8986B0977CD8244C0536AE89E2,UHD4K,119,1734,경기/인천
2023-08-11,6,13,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,30,1234,경기/인천
2023-10-07,7,21,598FE96976B647D109210DA9DA6496DD62646E3C,UHD4K,14,1046,춘천
2023-10-16,2,16,C86E1603E02A324929ABD9BDEA1C1D56B4ECA453,UIE4057LGU,4,815,경기/인천
2023-09-30,7,1,47A0AF41A6178D0D8461E2BB5AD623529452C1BB,UTE7057LGU,123,1107,경기/인천
2023-08-18,6,8,ED197CEBB777E816DA6DEF2DF9F64953D26CD3E6,UHD4K,323,618,창원
2023-10-08,1,13,54BF30DBAE83E26F7873B53659E8A0CD03585E34,UTE7057LGU,14,624,경기/인천
2023-10-16,2,20,A47A0DF35182BB226D2320E9E9237200E8A24480,UHD4K,97,1763,서울
2023-10-15,1,18,54BF30DBAE83E26F7873B53659E8A0CD03585E34,UTE7057LGU,93,673,경기/인천
2023-08-24,5,23,C497FDE177F3AAD83735A63359BDADE6D4318AF4,UHD4K,126,928,서울
2023-09-21,5,15,500D21AA0CBC27FEB4419660F413A6B13929A254,UHD4K,21,1028,제주
2023-09-18,2,6,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,91,1434,경기/인천
2023-08-27,1,0,A63ABB0096425B8986B0977CD8244C0536AE89E2,UHD4K,27,1068,경기/인천
2023-10-14,7,6,A47A0DF35182BB226D2320E9E9237200E8A24480,UHD4K,59,890,서울
2023-08-05,7,13,438FA35C8C179297510BC82823B6C66369F4C2D6,UTE7057LGU,152,2000,경기/인천
2023-10-19,5,16,C497FDE177F3AAD83735A63359BDADE6D4318AF4,UHD4K,116,606,서울
2023-09-29,6,10,849D4BFD212A4311441A510407346BF3E8891A76,UTE7057LGU,5,954,대전
2023-10-23,2,23,D09990A90A6CAA43BB8650E8EE28FB0A27CCDF75,UTE7057LGU,54,771,진주
2023-09-13,4,7,380869B5AFEDA8E723AC4855AF6F40B8EBF69D96,UHD4K,82,663,서울
2023-10-13,6,21,B11D11246AEBE39EC964E42148FFE9F15EAB0536,UTE7057LGU,75,628,서울
2023-10-14,7,20,C497FDE177F3AAD83735A63359BDADE6D4318AF4,UHD4K,194,884,서울
2023-09-25,2,18,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,62,747,경기/인천
2023-09-08,6,7,C86E1603E02A324929ABD9BDEA1C1D56B4ECA453,UIE4057LGU,274,2897,경기/인천
2023-10-12,5,12,C86E1603E02A324929ABD9BDEA1C1D56B4ECA453,UIE4057LGU,269,4716,경기/인천
2023-09-28,5,11,84CBA21910C73EB710419C68BBC81963575E1040,UHD4K,320,1581,경기/인천
2023-09-19,3,6,438FA35C8C179297510BC82823B6C66369F4C2D6,UTE7057LGU,56,1052,경기/인천
2023-09-16,7,11,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,3775,경기/인천
2023-10-25,4,0,A7295254E60A7B69AFF18D5D510D2249FBCD1DF5,UHD4K,64,5258,대전
2023-09-20,4,21,D09990A90A6CAA43BB8650E8EE28FB0A27CCDF75,UTE7057LGU,57,1001,진주
2023-08-24,5,19,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,62,1335,경기/인천
2023-08-23,4,4,438FA35C8C179297510BC82823B6C66369F4C2D6,UTE7057LGU,56,991,경기/인천
2023-10-20,6,23,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,101,638,경기/인천
2023-08-25,6,23,22E889D82E78397398FD21E550CA0E8D159D7F43,UIE4057LGU,25,37529,춘천
2023-08-29,3,19,84CBA21910C73EB710419C68BBC81963575E1040,UHD4K,317,3554,경기/인천
2023-10-29,1,9,C86E1603E02A324929ABD9BDEA1C1D56B4ECA453,UIE4057LGU,274,2162,경기/인천
2023-10-31,3,17,C86E1603E02A324929ABD9BDEA1C1D56B4ECA453,UIE4057LGU,269,6041,경기/인천
2023-09-02,7,20,4D25D5A26F18DA0BB02B5EB3D35F3FFEE3B819FA,UTE7057LGU,62,10263,서울
2023-10-03,3,21,B11D11246AEBE39EC964E42148FFE9F15EAB0536,UTE7057LGU,75,1088,서울
2023-10-02,2,16,500D21AA0CBC27FEB4419660F413A6B13929A254,UHD4K,13,601,제주
2023-08-31,5,19,9FC9E68CFC41378CA39FD8AFC87BBBED0B73CBA8,UHD4K,55,1195,경기/인천
2023-09-20,4,20,C497FDE177F3AAD83735A63359BDADE6D4318AF4,UHD4K,46,687,서울
2023-09-27,4,16,54BF30DBAE83E26F7873B53659E8A0CD03585E34,UTE7057LGU,54,875,경기/인천
2023-09-16,7,19,9FC9E68CFC41378CA39FD8AFC87BBBED0B73CBA8,UHD4K,57,1197,경기/인천
2023-09-04,2,17,2C1FF4FAEAE8C89480466CC2F7DF3AB3EDAD9166,UHD4K,50,1061,서울
2023-08-27,1,14,A63ABB0096425B8986B0977CD8244C0536AE89E2,UHD4K,12,1764,경기/인천
2023-09-06,4,14,9E400EC60D34AEF923C48F1C25379A9BDD489FA5,UIE4057LGU,83,1624,부산
2023-10-31,3,12,C497FDE177F3AAD83735A63359BDADE6D4318AF4,UHD4K,125,7324,서울
2023-10-28,7,17,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,99,622,경기/인천
2023-08-17,5,14,441F58BC529644CC95F29947DBDFEC422BF6F4A4,UHD4K,57,795,서울
2023-08-26,7,7,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,91,1587,경기/인천
2023-10-01,1,19,A47A0DF35182BB226D2320E9E9237200E8A24480,UHD4K,120,1831,서울
2023-08-15,3,19,84CBA21910C73EB710419C68BBC81963575E1040,UHD4K,323,699,경기/인천
2023-09-13,4,13,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,141,1160,경기/인천
2023-08-10,5,23,2C1FF4FAEAE8C89480466CC2F7DF3AB3EDAD9166,UHD4K,0,724,서울
2023-08-05,7,11,380869B5AFEDA8E723AC4855AF6F40B8EBF69D96,UHD4K,71,602,서울
2023-08-22,3,23,4874FA028D45086A8E4D6C1B9DE56AEBE159E262,UTE7057LGU,112,2117,경기/인천
2023-09-25,2,23,451A7C86F8CA773AF83330EAD87ECBBD53B6799D,UTE7057LGU,57,603,부산
2023-09-26,3,18,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,70,1934,경기/인천
2023-09-07,5,17,C86E1603E02A324929ABD9BDEA1C1D56B4ECA453,UIE4057LGU,41,610,경기/인천
2023-09-24,1,20,84CBA21910C73EB710419C68BBC81963575E1040,UHD4K,320,1518,경기/인천
2023-08-15,3,7,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,87,665,경기/인천
2023-10-03,3,19,A7295254E60A7B69AFF18D5D510D2249FBCD1DF5,UHD4K,34,908,대전
2023-10-18,4,11,9FC9E68CFC41378CA39FD8AFC87BBBED0B73CBA8,UHD4K,127,1535,경기/인천
2023-09-01,6,11,2C1FF4FAEAE8C89480466CC2F7DF3AB3EDAD9166,UHD4K,0,1220,서울
2023-08-16,4,16,C497FDE177F3AAD83735A63359BDADE6D4318AF4,UHD4K,158,1645,서울
2023-08-10,5,8,598FE96976B647D109210DA9DA6496DD62646E3C,UHD4K,5,724,춘천
2023-09-05,3,8,84CBA21910C73EB710419C68BBC81963575E1040,UHD4K,320,35843,경기/인천
2023-08-24,5,15,451A7C86F8CA773AF83330EAD87ECBBD53B6799D,UTE7057LGU,112,1363,부산
2023-10-29,1,22,451A7C86F8CA773AF83330EAD87ECBBD53B6799D,UTE7057LGU,5,659,부산
2023-08-27,1,15,C86E1603E02A324929ABD9BDEA1C1D56B4ECA453,UIE4057LGU,25,9534,경기/인천
2023-09-30,7,15,441F58BC529644CC95F29947DBDFEC422BF6F4A4,UHD4K,55,1293,서울
2023-08-05,7,7,BD98FD0FC84E688810250BAB439C9CC2163A416F,UHD4K,37,4575,대전
2023-08-21,2,16,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,89,663,경기/인천
2023-10-21,7,16,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,101,1842,경기/인천
2023-10-02,2,8,BD98FD0FC84E688810250BAB439C9CC2163A416F,UHD4K,57,4367,대전
2023-08-02,4,17,849D4BFD212A4311441A510407346BF3E8891A76,UTE7057LGU,63,645,대전
2023-08-26,7,0,4C6DF7036F4C1358B6137C79D83FF170ABBEA73E,UTE7057LGU,98,858,경기/인천
2023-10-27,6,8,2C1FF4FAEAE8C89480466CC2F7DF3AB3EDAD9166,UHD4K,163,1369,서울
2023-09-28,5,15,B11D11246AEBE39EC964E42148FFE9F15EAB0536,UTE7057LGU,75,1670,서울
2023-08-19,7,17,441F58BC529644CC95F29947DBDFEC422BF6F4A4,UHD4K,55,865,서울
2023-10-30,2,18,441F58BC529644CC95F29947DBDFEC422BF6F4A4,UHD4K,75,958,서울
2023-10-10,3,19,84CBA21910C73EB710419C68BBC81963575E1040,UHD4K,323,947,경기/인천
2023-10-07,7,6,441F58BC529644CC95F29947DBDFEC422BF6F4A4,UHD4K,82,1592,서울
2023-08-02,4,11,A7295254E60A7B69AFF18D5D510D2249FBCD1DF5,UHD4K,41,646,대전
2023-09-28,5,11,22E889D82E78397398FD21E550CA0E8D159D7F43,UIE4057LGU,70,3262,춘천
2023-10-22,1,12,ED197CEBB777E816DA6DEF2DF9F64953D26CD3E6,UHD4K,311,917,창원
2023-09-26,3,14,438FA35C8C179297510BC82823B6C66369F4C2D6,UTE7057LGU,159,762,경기/인천
2023-10-29,1,13,A63ABB0096425B8986B0977CD8244C0536AE89E2,UHD4K,21,873,경기/인천
2023-10-03,3,18,598FE96976B647D109210DA9DA6496DD62646E3C,UHD4K,5,906,춘천
2023-10-23,2,7,C86E1603E02A324929ABD9BDEA1C1D56B4ECA453,UIE4057LGU,21,23142,경기/인천
2023-09-14,5,13,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,135,869,경기/인천
2023-08-07,2,10,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,1040,경기/인천
2023-10-01,1,17,69D5B7DC2FC5A458B13DD6C513D8A67728AF6E72,UIE4057LGU,0,3843,경기/인천
2023-08-08,3,14,C86E1603E02A324929ABD9BDEA1C1D56B4ECA453,UIE4057LGU,10,1519,경기/인천
2023-10-30,2,15,54BF30DBAE83E26F7873B53659E8A0CD03585E34,UTE7057LGU,77,1054,경기/인천
2023-10-03,3,6,C86E1603E02A324929ABD9BDEA1C1D56B4ECA453,UIE4057LGU,0,759,경기/인천
2023-08-31,5,7,438FA35C8C179297510BC82823B6C66369F4C2D6,UTE7057LGU,180,1251,경기/인천
2023-08-08,3,8,2C1FF4FAEAE8C89480466CC2F7DF3AB3EDAD9166,UHD4K,162,2428,서울
2023-08-04,6,9,598FE96976B647D109210DA9DA6496DD62646E3C,UHD4K,14,715,춘천
2023-10-13,6,19,22E889D82E78397398FD21E550CA0E8D159D7F43,UIE4057LGU,83,1708,춘천
2023-09-14,5,16,C86E1603E02A324929ABD9BDEA1C1D56B4ECA453,UIE4057LGU,269,790,경기/인천
2023-10-13,6,13,9FC9E68CFC41378CA39FD8AFC87BBBED0B73CBA8,UHD4K,141,912,경기/인천
2023-09-09,7,18,84CBA21910C73EB710419C68BBC81963575E1040,UHD4K,323,631,경기/인천
2023-08-26,7,18,2C1FF4FAEAE8C89480466CC2F7DF3AB3EDAD9166,UHD4K,162,2530,서울
2023-08-20,1,15,C497FDE177F3AAD83735A63359BDADE6D4318AF4,UHD4K,116,4631,서울
