P_YYYYMMDD,BASE_WEEKDAY,BASE_TM,ENTR_NO,MDL_NM,CHNL_PNTN_ESPE_BRD_CHNL_NO,CHNL_ESPE_POT_CHNL_STAY_TM,WTCH_REGN_NM
2023-08-15,3,8,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,92,735,경기/인천
2023-09-16,7,18,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,995,경기/인천
2023-08-19,7,4,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,96,949,경기/인천
2023-08-27,1,12,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,112,1060,경기/인천
2023-10-05,5,16,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,0,2300,경기/인천
2023-08-30,4,16,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,75,717,경기/인천
2023-10-01,1,9,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,139,1538,경기/인천
2023-10-01,1,7,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,139,1926,경기/인천
2023-10-23,2,11,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,956,경기/인천
2023-09-03,1,18,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,2521,경기/인천
2023-08-15,3,14,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,103,2267,경기/인천
2023-10-22,1,16,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,89,789,경기/인천
2023-09-14,5,11,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,81,700,경기/인천
2023-08-15,3,9,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,84,739,경기/인천
2023-08-27,1,12,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,82,648,경기/인천
2023-08-07,2,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,75,650,경기/인천
2023-10-22,1,16,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,89,2413,경기/인천
2023-10-20,6,11,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,92,2436,경기/인천
2023-10-29,1,11,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,91,751,경기/인천
2023-09-28,5,8,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,88,2695,경기/인천
2023-09-09,7,18,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,697,경기/인천
2023-08-19,7,0,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,117,1383,경기/인천
2023-10-29,1,16,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,75,1082,경기/인천
2023-10-14,7,10,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,91,832,경기/인천
2023-09-16,7,14,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,142,1124,경기/인천
2023-08-21,2,13,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,135,604,경기/인천
2023-08-07,2,6,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,85,1632,경기/인천
2023-09-03,1,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,135,1046,경기/인천
2023-09-10,1,21,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,118,616,경기/인천
2023-10-29,1,16,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,75,643,경기/인천
2023-09-06,4,16,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,75,696,경기/인천
2023-10-01,1,21,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,802,경기/인천
2023-09-30,7,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,1686,경기/인천
2023-10-07,7,16,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,636,경기/인천
2023-09-26,3,6,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,1229,경기/인천
2023-09-30,7,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,1050,경기/인천
2023-08-09,4,6,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,1019,경기/인천
2023-10-01,1,22,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,2460,경기/인천
2023-09-10,1,20,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,1648,경기/인천
2023-08-24,5,8,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,632,경기/인천
2023-08-30,4,9,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,955,경기/인천
2023-09-08,6,8,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,1435,경기/인천
2023-10-01,1,11,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,761,경기/인천
2023-08-23,4,9,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,1937,경기/인천
2023-10-05,5,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,1294,경기/인천
2023-09-26,3,10,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,6130,경기/인천
2023-08-16,4,9,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,3218,경기/인천
2023-08-23,4,8,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,885,경기/인천
2023-10-01,1,19,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,11,638,경기/인천
2023-10-02,2,14,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,1232,경기/인천
2023-08-15,3,9,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,2029,경기/인천
2023-09-06,4,21,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,701,경기/인천
2023-10-03,3,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,766,경기/인천
2023-10-01,1,20,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,1439,경기/인천
2023-10-28,7,17,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,2300,경기/인천
2023-10-01,1,18,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,2728,경기/인천
2023-09-28,5,21,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,1371,경기/인천
2023-10-01,1,21,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,1571,경기/인천
2023-09-16,7,23,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,702,경기/인천
2023-08-19,7,13,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,694,경기/인천
2023-09-06,4,20,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,1380,경기/인천
2023-08-02,4,21,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,1237,경기/인천
2023-08-20,1,20,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,2108,경기/인천
2023-10-05,5,20,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,792,경기/인천
2023-08-08,3,21,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,2541,경기/인천
2023-08-23,4,20,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,612,경기/인천
2023-08-23,4,6,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,689,경기/인천
2023-10-01,1,19,12B592DB259836F5196D9EF2CBAC3AA8151ED787,UHD4K,5,1290,경기/인천
